card_background, Card_Name, Amount, Quanta_Element, Card_Image, Creature_Value, Card_Type
Death.png,Arsenic,2,Death,205.png, ,Weapon
Other.png,Dirk,0,Other,200.png, ,Weapon
Entropy.png,Discord,3,Entropy,204.png, ,Weapon
Air.png,Eagle's Eye,5,Air,212.png, ,Weapon
Aether.png,Electrocuter,3,Aether,215.png, ,Weapon
Time.png,Eternity,5,Time,213.png, ,Weapon
Fire.png,Fahrenheit,3,Fire,209.png, ,Weapon
Other.png,Hammer,2,Other,202.png, ,Weapon
Life.png,Jade Staff,2,Life,208.png, ,Weapon
Other.png,Long Sword,1,Other,201.png, ,Weapon
Other.png,Longbow,2,Other,203.png, ,Weapon
Light.png,Morning Glory,5,Light,211.png, ,Weapon
Water.png,Poseidon,3,Water,210.png, ,Weapon
Earth.png,Pulverizer,4,Earth,207.png, ,Weapon
Gravity.png,Titan,5,Gravity,206.png, ,Weapon
Darkness.png,Vampire Dagger,2,Darkness,214.png, ,Weapon
Death.png,Arsenic,2,Death,205.png, ,Weapon
Other.png,Dagger,0,Other,200.png, ,Weapon
Entropy.png,Discord,3,Entropy,204.png, ,Weapon
Life.png,Druidic Staff,2,Life,208.png, ,Weapon
Time.png,Eternity,6,Time,213.png, ,Weapon
Fire.png,Fahrenheit,3,Fire,209.png, ,Weapon
Other.png,Hammer,2,Other,202.png, ,Weapon
Aether.png,Lobotomizer,3,Aether,215.png, ,Weapon
Light.png,Morning Star,5,Light,211.png, ,Weapon
Air.png,Owl's Eye,5,Air,212.png, ,Weapon
Earth.png,Pulverizer,4,Earth,207.png, ,Weapon
Other.png,Short Bow,2,Other,203.png, ,Weapon
Other.png,Short Sword,1,Other,201.png, ,Weapon
Gravity.png,Titan,5,Gravity,206.png, ,Weapon
Water.png,Trident,3,Water,210.png, ,Weapon
Darkness.png,Vampire Stiletto,1,Darkness,214.png, ,Weapon
Other.png,Weapon (slot),0,Other,218.png, ,Weapon
Gravity.png,Acceleration,3,Gravity,593.png, ,Spell
Life.png,Adrenaline,4,Life,571.png, ,Spell
Death.png,Aflatoxin,6,Death,602.png, ,Spell
Entropy.png,Antimatter,8,Entropy,613.png, ,Spell
Earth.png,Basilisk's Blood,2,Earth,585.png, ,Spell
Gravity.png,Black Hole,4,Gravity,592.png, ,Spell
Light.png,Blessing,3,Light,541.png, ,Spell
Entropy.png,Butterfly Effect,5,Entropy,614.png, ,Spell
Entropy.png,Chaos Seed,1,Entropy,610.png, ,Spell
Fire.png,Deflagration,3,Fire,561.png, ,Spell
Darkness.png,Drain Life,3,Darkness,511.png, ,Spell
Earth.png,Earthquake,3,Earth,583.png, ,Spell
Earth.png,Enchant Artifact,2,Earth,582.png, ,Spell
Fire.png,Fire Bolt,3,Fire,560.png, ,Spell
Air.png,Flying Weapon,1,Air,532.png, ,Spell
Aether.png,Fractal,10,Aether,503.png, ,Spell
Water.png,Freeze,1,Water,550.png, ,Spell
Earth.png,Granite Skin,1,Earth,584.png, ,Spell
Gravity.png,Gravity Pull,2,Gravity,591.png, ,Spell
Life.png,Heal,3,Life,570.png, ,Spell
Light.png,Holy Light,1,Light,540.png, ,Spell
Water.png,Ice Bolt,2,Water,551.png, ,Spell
Fire.png,Immolation,0,Fire,563.png, ,Spell
Aether.png,Lightning,2,Aether,500.png, ,Spell
Darkness.png,Liquid Shadow,4,Darkness,512.png, ,Spell
Light.png,Luciferin,2,Other,543.png, ,Spell
Light.png,Miracle,15,Light,542.png, ,Spell
Life.png,Mitosis,5,Life,572.png, ,Spell
Gravity.png,Momentum,2,Gravity,590.png, ,Spell
Entropy.png,Mutation,2,Entropy,612.png, ,Spell
Darkness.png,Nightmare,2,Darkness,513.png, ,Spell
Entropy.png,Nova,0,Entropy,611.png, ,Spell
Water.png,Nymph's Tears,7,Water,553.png, ,Spell
Entropy.png,Pandemonium,3,Entropy,615.png, ,Spell
Aether.png,Parallel Universe,7,Aether,501.png, ,Spell
Death.png,Plague,4,Death,601.png, ,Spell
Earth.png,Plate Armor,1,Earth,581.png, ,Spell
